"","Season","School"
"1736","1990-1991","Alcorn State"
"1737","1990-1991","American"
"1738","1990-1991","Appalachian State"
"1739","1990-1991","Arizona"
"1740","1990-1991","Arizona State"
"1741","1990-1991","Arkansas"
"1742","1990-1991","Arkansas State"
"1743","1990-1991","Army"
"1744","1990-1991","Auburn"
"1745","1990-1991","Augusta State"
"1746","1990-1991","Austin Peay"
"1747","1990-1991","Ball State"
"1748","1990-1991","Baylor"
"1749","1990-1991","Bethune-Cookman"
"1750","1990-1991","Boise State"
"1751","1990-1991","Boston College"
"1752","1990-1991","Boston University"
"1753","1990-1991","Bowling Green State"
"1754","1990-1991","Bradley"
"1755","1990-1991","Brigham Young"
"1756","1990-1991","Brooklyn"
"1757","1990-1991","Brown"
"1758","1990-1991","Bucknell"
"1759","1990-1991","Butler"
"1760","1990-1991","Cal State Fullerton"
"1761","1990-1991","Cal State Northridge"
"1762","1990-1991","Campbell"
"1763","1990-1991","Canisius"
"1764","1990-1991","Centenary (LA)"
"1765","1990-1991","Central Connecticut State"
"1766","1990-1991","Central Florida"
"1767","1990-1991","Central Michigan"
"1768","1990-1991","Charleston Southern"
"1769","1990-1991","Charlotte"
"1770","1990-1991","Chattanooga"
"1771","1990-1991","Chicago State"
"1772","1990-1991","Cincinnati"
"1773","1990-1991","Citadel"
"1774","1990-1991","Clemson"
"1775","1990-1991","Cleveland State"
"1776","1990-1991","Coastal Carolina"
"1777","1990-1991","Colgate"
"1778","1990-1991","Colorado"
"1779","1990-1991","Colorado State"
"1780","1990-1991","Columbia"
"1781","1990-1991","Connecticut"
"1782","1990-1991","Coppin State"
"1783","1990-1991","Cornell"
"1784","1990-1991","Creighton"
"1785","1990-1991","Dartmouth"
"1786","1990-1991","Davidson"
"1787","1990-1991","Dayton"
"1788","1990-1991","Delaware"
"1789","1990-1991","Delaware State"
"1790","1990-1991","DePaul"
"1791","1990-1991","Detroit Mercy"
"1792","1990-1991","Drake"
"1793","1990-1991","Drexel"
"1794","1990-1991","Duke"
"1795","1990-1991","Duquesne"
"1796","1990-1991","East Carolina"
"1797","1990-1991","East Tennessee State"
"1798","1990-1991","Eastern Illinois"
"1799","1990-1991","Eastern Kentucky"
"1800","1990-1991","Eastern Michigan"
"1801","1990-1991","Eastern Washington"
"1802","1990-1991","Evansville"
"1803","1990-1991","Fairfield"
"1804","1990-1991","Fairleigh Dickinson"
"1805","1990-1991","Florida"
"1806","1990-1991","Florida A&M"
"1807","1990-1991","Florida International"
"1808","1990-1991","Florida State"
"1809","1990-1991","Fordham"
"1810","1990-1991","Fresno State"
"1811","1990-1991","Furman"
"1812","1990-1991","George Mason"
"1813","1990-1991","George Washington"
"1814","1990-1991","Georgetown"
"1815","1990-1991","Georgia"
"1816","1990-1991","Georgia Southern"
"1817","1990-1991","Georgia State"
"1818","1990-1991","Georgia Tech"
"1819","1990-1991","Gonzaga"
"1820","1990-1991","Grambling"
"1821","1990-1991","Green Bay"
"1822","1990-1991","Hartford"
"1823","1990-1991","Harvard"
"1824","1990-1991","Hawaii"
"1825","1990-1991","Hofstra"
"1826","1990-1991","Holy Cross"
"1827","1990-1991","Houston"
"1828","1990-1991","Howard"
"1829","1990-1991","Idaho"
"1830","1990-1991","Idaho State"
"1831","1990-1991","Illinois"
"1832","1990-1991","Illinois-Chicago"
"1833","1990-1991","Illinois State"
"1834","1990-1991","Indiana"
"1835","1990-1991","Indiana State"
"1836","1990-1991","Iona"
"1837","1990-1991","Iowa"
"1838","1990-1991","Iowa State"
"1839","1990-1991","Jackson State"
"1840","1990-1991","Jacksonville"
"1841","1990-1991","James Madison"
"1842","1990-1991","Kansas"
"1843","1990-1991","Kansas State"
"1844","1990-1991","Kent State"
"1845","1990-1991","Kentucky"
"1846","1990-1991","La Salle"
"1847","1990-1991","Lafayette"
"1848","1990-1991","Lamar"
"1849","1990-1991","Lehigh"
"1850","1990-1991","Liberty"
"1851","1990-1991","Little Rock"
"1852","1990-1991","Long Beach State"
"1853","1990-1991","Long Island University"
"1854","1990-1991","Louisiana"
"1855","1990-1991","Louisiana-Monroe"
"1856","1990-1991","Louisiana State"
"1857","1990-1991","Louisiana Tech"
"1858","1990-1991","Louisville"
"1859","1990-1991","Loyola (IL)"
"1860","1990-1991","Loyola (MD)"
"1861","1990-1991","Loyola Marymount"
"1862","1990-1991","Maine"
"1863","1990-1991","Manhattan"
"1864","1990-1991","Marist"
"1865","1990-1991","Marquette"
"1866","1990-1991","Marshall"
"1867","1990-1991","Maryland"
"1868","1990-1991","Maryland-Baltimore County"
"1869","1990-1991","Maryland-Eastern Shore"
"1870","1990-1991","Massachusetts"
"1871","1990-1991","McNeese State"
"1872","1990-1991","Memphis"
"1873","1990-1991","Mercer"
"1874","1990-1991","Miami (FL)"
"1875","1990-1991","Miami (OH)"
"1876","1990-1991","Michigan"
"1877","1990-1991","Michigan State"
"1878","1990-1991","Middle Tennessee"
"1879","1990-1991","Milwaukee"
"1880","1990-1991","Minnesota"
"1881","1990-1991","Mississippi"
"1882","1990-1991","Mississippi State"
"1883","1990-1991","Mississippi Valley State"
"1884","1990-1991","Missouri"
"1885","1990-1991","Missouri-Kansas City"
"1886","1990-1991","Missouri State"
"1887","1990-1991","Monmouth"
"1888","1990-1991","Montana"
"1889","1990-1991","Montana State"
"1890","1990-1991","Morehead State"
"1891","1990-1991","Morgan State"
"1892","1990-1991","Mount St. Mary's"
"1893","1990-1991","Murray State"
"1894","1990-1991","Navy"
"1895","1990-1991","Nebraska"
"1896","1990-1991","Nevada"
"1897","1990-1991","Nevada-Las Vegas"
"1898","1990-1991","New Hampshire"
"1899","1990-1991","New Mexico"
"1900","1990-1991","New Mexico State"
"1901","1990-1991","New Orleans"
"1902","1990-1991","Niagara"
"1903","1990-1991","Nicholls State"
"1904","1990-1991","North Carolina"
"1905","1990-1991","North Carolina-Asheville"
"1906","1990-1991","North Carolina-Wilmington"
"1907","1990-1991","North Carolina A&T"
"1908","1990-1991","North Carolina State"
"1909","1990-1991","North Texas"
"1910","1990-1991","Northeastern"
"1911","1990-1991","Northeastern Illinois"
"1912","1990-1991","Northern Arizona"
"1913","1990-1991","Northern Illinois"
"1914","1990-1991","Northern Iowa"
"1915","1990-1991","Northwestern"
"1916","1990-1991","Northwestern State"
"1917","1990-1991","Notre Dame"
"1918","1990-1991","Ohio"
"1919","1990-1991","Ohio State"
"1920","1990-1991","Oklahoma"
"1921","1990-1991","Oklahoma State"
"1922","1990-1991","Old Dominion"
"1923","1990-1991","Oregon"
"1924","1990-1991","Oregon State"
"1925","1990-1991","Pacific"
"1926","1990-1991","Penn State"
"1927","1990-1991","Pennsylvania"
"1928","1990-1991","Pepperdine"
"1929","1990-1991","Pittsburgh"
"1930","1990-1991","Portland"
"1931","1990-1991","Prairie View"
"1932","1990-1991","Princeton"
"1933","1990-1991","Providence"
"1934","1990-1991","Purdue"
"1935","1990-1991","Radford"
"1936","1990-1991","Rhode Island"
"1937","1990-1991","Rice"
"1938","1990-1991","Richmond"
"1939","1990-1991","Rider"
"1940","1990-1991","Robert Morris"
"1941","1990-1991","Rutgers"
"1942","1990-1991","Saint Francis (PA)"
"1943","1990-1991","Saint Joseph's"
"1944","1990-1991","Saint Louis"
"1945","1990-1991","Saint Mary's (CA)"
"1946","1990-1991","Saint Peter's"
"1947","1990-1991","Sam Houston State"
"1948","1990-1991","Samford"
"1949","1990-1991","San Diego"
"1950","1990-1991","San Diego State"
"1951","1990-1991","San Francisco"
"1952","1990-1991","San Jose State"
"1953","1990-1991","Santa Clara"
"1954","1990-1991","Seton Hall"
"1955","1990-1991","Siena"
"1956","1990-1991","South Alabama"
"1957","1990-1991","South Carolina"
"1958","1990-1991","South Carolina State"
"1959","1990-1991","South Florida"
"1960","1990-1991","Southeastern Louisiana"
"1961","1990-1991","Southern"
"1962","1990-1991","Southern California"
"1963","1990-1991","Southern Illinois"
"1964","1990-1991","Southern Methodist"
"1965","1990-1991","Southern Mississippi"
"1966","1990-1991","Southern Utah"
"1967","1990-1991","St. Bonaventure"
"1968","1990-1991","St. Francis (NY)"
"1969","1990-1991","St. John's (NY)"
"1970","1990-1991","Stanford"
"1971","1990-1991","Stephen F. Austin"
"1972","1990-1991","Stetson"
"1973","1990-1991","Syracuse"
"1974","1990-1991","Temple"
"1975","1990-1991","Tennessee"
"1976","1990-1991","Tennessee State"
"1977","1990-1991","Tennessee Tech"
"1978","1990-1991","Texas"
"1979","1990-1991","Texas-Arlington"
"1980","1990-1991","Texas-El Paso"
"1981","1990-1991","Texas-Rio Grande Valley"
"1982","1990-1991","Texas-San Antonio"
"1983","1990-1991","Texas A&M"
"1984","1990-1991","Texas Christian"
"1985","1990-1991","Texas Southern"
"1986","1990-1991","Texas State"
"1987","1990-1991","Texas Tech"
"1988","1990-1991","Toledo"
"1989","1990-1991","Towson"
"1990","1990-1991","Tulane"
"1991","1990-1991","Tulsa"
"1992","1990-1991","U.S. International"
"1993","1990-1991","UC-Irvine"
"1994","1990-1991","UC-Santa Barbara"
"1995","1990-1991","UCLA"
"1996","1990-1991","University of California"
"1997","1990-1991","Utah"
"1998","1990-1991","Utah State"
"1999","1990-1991","Valparaiso"
"2000","1990-1991","Vanderbilt"
"2001","1990-1991","Vermont"
"2002","1990-1991","Villanova"
"2003","1990-1991","Virginia"
"2004","1990-1991","Virginia Commonwealth"
"2005","1990-1991","Virginia Tech"
"2006","1990-1991","VMI"
"2007","1990-1991","Wagner"
"2008","1990-1991","Wake Forest"
"2009","1990-1991","Washington"
"2010","1990-1991","Washington State"
"2011","1990-1991","Weber State"
"2012","1990-1991","West Virginia"
"2013","1990-1991","Western Carolina"
"2014","1990-1991","Western Illinois"
"2015","1990-1991","Western Kentucky"
"2016","1990-1991","Western Michigan"
"2017","1990-1991","Wichita State"
"2018","1990-1991","William & Mary"
"2019","1990-1991","Winthrop"
"2020","1990-1991","Wisconsin"
"2021","1990-1991","Wright State"
"2022","1990-1991","Wyoming"
"2023","1990-1991","Xavier"
"2024","1990-1991","Yale"
"2025","1990-1991","Youngstown State"
"2026","1991-1992","Air Force"
"2027","1991-1992","Akron"
"2028","1991-1992","Alabama"
"2029","1991-1992","Alabama-Birmingham"
"2030","1991-1992","Alabama State"
"2031","1991-1992","Alcorn State"
"2032","1991-1992","American"
"2033","1991-1992","Appalachian State"
"2034","1991-1992","Arizona"
"2035","1991-1992","Arizona State"
"2036","1991-1992","Arkansas"
"2037","1991-1992","Arkansas State"
"2038","1991-1992","Army"
"2039","1991-1992","Auburn"
"2040","1991-1992","Austin Peay"
"2041","1991-1992","Ball State"
"2042","1991-1992","Baylor"
"2043","1991-1992","Bethune-Cookman"
"2044","1991-1992","Boise State"
"2045","1991-1992","Boston College"
"2046","1991-1992","Boston University"
"2047","1991-1992","Bowling Green State"
"2048","1991-1992","Bradley"
"2049","1991-1992","Brigham Young"
"2050","1991-1992","Brooklyn"
"2051","1991-1992","Brown"
"2052","1991-1992","Bucknell"
"2053","1991-1992","Buffalo"
"2054","1991-1992","Butler"
"2055","1991-1992","Cal State Fullerton"
"2056","1991-1992","Cal State Northridge"
"2057","1991-1992","Campbell"
"2058","1991-1992","Canisius"
"2059","1991-1992","Centenary (LA)"
"2060","1991-1992","Central Connecticut State"
"2061","1991-1992","Central Florida"
"2062","1991-1992","Central Michigan"
"2063","1991-1992","Charleston Southern"
"2064","1991-1992","Charlotte"
"2065","1991-1992","Chattanooga"
"2066","1991-1992","Chicago State"
"2067","1991-1992","Cincinnati"
"2068","1991-1992","Citadel"
"2069","1991-1992","Clemson"
"2070","1991-1992","Cleveland State"
"2071","1991-1992","Coastal Carolina"
"2072","1991-1992","Colgate"
"2073","1991-1992","College of Charleston"
"2074","1991-1992","Colorado"
"2075","1991-1992","Colorado State"
"2076","1991-1992","Columbia"
"2077","1991-1992","Connecticut"
"2078","1991-1992","Coppin State"
"2079","1991-1992","Cornell"
"2080","1991-1992","Creighton"
"2081","1991-1992","Dartmouth"
"2082","1991-1992","Davidson"
"2083","1991-1992","Dayton"
"2084","1991-1992","Delaware"
"2085","1991-1992","Delaware State"
"2086","1991-1992","DePaul"
"2087","1991-1992","Detroit Mercy"
"2088","1991-1992","Drake"
"2089","1991-1992","Drexel"
"2090","1991-1992","Duke"
"2091","1991-1992","Duquesne"
"2092","1991-1992","East Carolina"
"2093","1991-1992","East Tennessee State"
"2094","1991-1992","Eastern Illinois"
"2095","1991-1992","Eastern Kentucky"
"2096","1991-1992","Eastern Michigan"
"2097","1991-1992","Eastern Washington"
"2098","1991-1992","Evansville"
"2099","1991-1992","Fairfield"
"2100","1991-1992","Fairleigh Dickinson"
"2101","1991-1992","Florida"
"2102","1991-1992","Florida A&M"
"2103","1991-1992","Florida International"
"2104","1991-1992","Florida State"
"2105","1991-1992","Fordham"
"2106","1991-1992","Fresno State"
"2107","1991-1992","Furman"
"2108","1991-1992","George Mason"
"2109","1991-1992","George Washington"
"2110","1991-1992","Georgetown"
"2111","1991-1992","Georgia"
"2112","1991-1992","Georgia Southern"
"2113","1991-1992","Georgia State"
"2114","1991-1992","Georgia Tech"
"2115","1991-1992","Gonzaga"
"2116","1991-1992","Grambling"
"2117","1991-1992","Green Bay"
"2118","1991-1992","Hartford"
"2119","1991-1992","Harvard"
"2120","1991-1992","Hawaii"
"2121","1991-1992","Hofstra"
"2122","1991-1992","Holy Cross"
"2123","1991-1992","Houston"
"2124","1991-1992","Howard"
"2125","1991-1992","Idaho"
"2126","1991-1992","Idaho State"
"2127","1991-1992","Illinois"
"2128","1991-1992","Illinois-Chicago"
"2129","1991-1992","Illinois State"
"2130","1991-1992","Indiana"
"2131","1991-1992","Indiana State"
"2132","1991-1992","Iona"
"2133","1991-1992","Iowa"
"2134","1991-1992","Iowa State"
"2135","1991-1992","Jackson State"
"2136","1991-1992","Jacksonville"
"2137","1991-1992","James Madison"
"2138","1991-1992","Kansas"
"2139","1991-1992","Kansas State"
"2140","1991-1992","Kent State"
"2141","1991-1992","Kentucky"
"2142","1991-1992","La Salle"
"2143","1991-1992","Lafayette"
"2144","1991-1992","Lamar"
"2145","1991-1992","Lehigh"
"2146","1991-1992","Liberty"
"2147","1991-1992","Little Rock"
"2148","1991-1992","Long Beach State"
"2149","1991-1992","Long Island University"
"2150","1991-1992","Louisiana"
"2151","1991-1992","Louisiana-Monroe"
"2152","1991-1992","Louisiana State"
"2153","1991-1992","Louisiana Tech"
"2154","1991-1992","Louisville"
"2155","1991-1992","Loyola (IL)"
"2156","1991-1992","Loyola (MD)"
"2157","1991-1992","Loyola Marymount"
"2158","1991-1992","Maine"
"2159","1991-1992","Manhattan"
"2160","1991-1992","Marist"
"2161","1991-1992","Marquette"
"2162","1991-1992","Marshall"
"2163","1991-1992","Maryland"
"2164","1991-1992","Maryland-Baltimore County"
"2165","1991-1992","Maryland-Eastern Shore"
"2166","1991-1992","Massachusetts"
"2167","1991-1992","McNeese State"
"2168","1991-1992","Memphis"
"2169","1991-1992","Mercer"
"2170","1991-1992","Miami (FL)"
"2171","1991-1992","Miami (OH)"
"2172","1991-1992","Michigan"
"2173","1991-1992","Michigan State"
"2174","1991-1992","Middle Tennessee"
"2175","1991-1992","Milwaukee"
"2176","1991-1992","Minnesota"
"2177","1991-1992","Mississippi"
"2178","1991-1992","Mississippi State"
"2179","1991-1992","Mississippi Valley State"
"2180","1991-1992","Missouri"
"2181","1991-1992","Missouri-Kansas City"
"2182","1991-1992","Missouri State"
"2183","1991-1992","Monmouth"
"2184","1991-1992","Montana"
"2185","1991-1992","Montana State"
"2186","1991-1992","Morehead State"
"2187","1991-1992","Morgan State"
"2188","1991-1992","Mount St. Mary's"
"2189","1991-1992","Murray State"
"2190","1991-1992","Navy"
"2191","1991-1992","Nebraska"
"2192","1991-1992","Nevada"
"2193","1991-1992","Nevada-Las Vegas"
"2194","1991-1992","New Hampshire"
"2195","1991-1992","New Mexico"
"2196","1991-1992","New Mexico State"
"2197","1991-1992","New Orleans"
"2198","1991-1992","Niagara"
"2199","1991-1992","Nicholls State"
"2200","1991-1992","North Carolina"
"2201","1991-1992","North Carolina-Asheville"
"2202","1991-1992","North Carolina-Greensboro"
"2203","1991-1992","North Carolina-Wilmington"
"2204","1991-1992","North Carolina A&T"
"2205","1991-1992","North Carolina State"
"2206","1991-1992","North Texas"
"2207","1991-1992","Northeastern"
"2208","1991-1992","Northeastern Illinois"
"2209","1991-1992","Northern Arizona"
"2210","1991-1992","Northern Illinois"
"2211","1991-1992","Northern Iowa"
"2212","1991-1992","Northwestern"
"2213","1991-1992","Northwestern State"
"2214","1991-1992","Notre Dame"
"2215","1991-1992","Ohio"
"2216","1991-1992","Ohio State"
"2217","1991-1992","Oklahoma"
"2218","1991-1992","Oklahoma State"
"2219","1991-1992","Old Dominion"
"2220","1991-1992","Oregon"
"2221","1991-1992","Oregon State"
"2222","1991-1992","Pacific"
"2223","1991-1992","Penn State"
"2224","1991-1992","Pennsylvania"
"2225","1991-1992","Pepperdine"
"2226","1991-1992","Pittsburgh"
"2227","1991-1992","Portland"
"2228","1991-1992","Prairie View"
"2229","1991-1992","Princeton"
"2230","1991-1992","Providence"
"2231","1991-1992","Purdue"
"2232","1991-1992","Radford"
"2233","1991-1992","Rhode Island"
"2234","1991-1992","Rice"
"2235","1991-1992","Richmond"
"2236","1991-1992","Rider"
"2237","1991-1992","Robert Morris"
"2238","1991-1992","Rutgers"
"2239","1991-1992","Sacramento State"
"2240","1991-1992","Saint Francis (PA)"
"2241","1991-1992","Saint Joseph's"
"2242","1991-1992","Saint Louis"
"2243","1991-1992","Saint Mary's (CA)"
"2244","1991-1992","Saint Peter's"
"2245","1991-1992","Sam Houston State"
"2246","1991-1992","Samford"
"2247","1991-1992","San Diego"
"2248","1991-1992","San Diego State"
"2249","1991-1992","San Francisco"
"2250","1991-1992","San Jose State"
"2251","1991-1992","Santa Clara"
"2252","1991-1992","Seton Hall"
"2253","1991-1992","Siena"
"2254","1991-1992","South Alabama"
"2255","1991-1992","South Carolina"
"2256","1991-1992","South Carolina State"
"2257","1991-1992","South Florida"
"2258","1991-1992","Southeast Missouri State"
"2259","1991-1992","Southeastern Louisiana"
"2260","1991-1992","Southern"
"2261","1991-1992","Southern California"
"2262","1991-1992","Southern Illinois"
"2263","1991-1992","Southern Methodist"
"2264","1991-1992","Southern Mississippi"
"2265","1991-1992","Southern Utah"
"2266","1991-1992","St. Bonaventure"
"2267","1991-1992","St. Francis (NY)"
"2268","1991-1992","St. John's (NY)"
"2269","1991-1992","Stanford"
"2270","1991-1992","Stephen F. Austin"
"2271","1991-1992","Stetson"
"2272","1991-1992","Syracuse"
"2273","1991-1992","Temple"
"2274","1991-1992","Tennessee"
"2275","1991-1992","Tennessee State"
"2276","1991-1992","Tennessee Tech"
"2277","1991-1992","Texas"
"2278","1991-1992","Texas-Arlington"
"2279","1991-1992","Texas-El Paso"
"2280","1991-1992","Texas-Rio Grande Valley"
"2281","1991-1992","Texas-San Antonio"
"2282","1991-1992","Texas A&M"
"2283","1991-1992","Texas Christian"
"2284","1991-1992","Texas Southern"
"2285","1991-1992","Texas State"
"2286","1991-1992","Texas Tech"
"2287","1991-1992","Toledo"
"2288","1991-1992","Towson"
"2289","1991-1992","Tulane"
"2290","1991-1992","Tulsa"
"2291","1991-1992","UC-Irvine"
"2292","1991-1992","UC-Santa Barbara"
"2293","1991-1992","UCLA"
"2294","1991-1992","University of California"
"2295","1991-1992","Utah"
"2296","1991-1992","Utah State"
"2297","1991-1992","Valparaiso"
"2298","1991-1992","Vanderbilt"
"2299","1991-1992","Vermont"
"2300","1991-1992","Villanova"
"2301","1991-1992","Virginia"
"2302","1991-1992","Virginia Commonwealth"
"2303","1991-1992","Virginia Tech"
"2304","1991-1992","VMI"
"2305","1991-1992","Wagner"
"2306","1991-1992","Wake Forest"
"2307","1991-1992","Washington"
"2308","1991-1992","Washington State"
"2309","1991-1992","Weber State"
"2310","1991-1992","West Virginia"
"2311","1991-1992","Western Carolina"
"2312","1991-1992","Western Illinois"
"2313","1991-1992","Western Kentucky"
"2314","1991-1992","Western Michigan"
"2315","1991-1992","Wichita State"
"2316","1991-1992","William & Mary"
"2317","1991-1992","Winthrop"
"2318","1991-1992","Wisconsin"
"2319","1991-1992","Wright State"
"2320","1991-1992","Wyoming"
"2321","1991-1992","Xavier"
"2322","1991-1992","Yale"
"2323","1991-1992","Youngstown State"
"2324","1992-1993","Air Force"
"2325","1992-1993","Akron"
"2326","1992-1993","Alabama"
"2327","1992-1993","Alabama-Birmingham"
"2328","1992-1993","Alabama State"
"2329","1992-1993","Alcorn State"
"2330","1992-1993","American"
"2331","1992-1993","Appalachian State"
"2332","1992-1993","Arizona"
"2333","1992-1993","Arizona State"
"2334","1992-1993","Arkansas"
"2335","1992-1993","Arkansas State"
"2336","1992-1993","Army"
"2337","1992-1993","Auburn"
"2338","1992-1993","Austin Peay"
"2339","1992-1993","Ball State"
"2340","1992-1993","Baylor"
"2341","1992-1993","Bethune-Cookman"
"2342","1992-1993","Boise State"
"2343","1992-1993","Boston College"
"2344","1992-1993","Boston University"
"2345","1992-1993","Bowling Green State"
"2346","1992-1993","Bradley"
"2347","1992-1993","Brigham Young"
"2348","1992-1993","Brown"
"2349","1992-1993","Bucknell"
"2350","1992-1993","Buffalo"
"2351","1992-1993","Butler"
"2352","1992-1993","Cal State Fullerton"
"2353","1992-1993","Cal State Northridge"
"2354","1992-1993","Campbell"
"2355","1992-1993","Canisius"
"2356","1992-1993","Centenary (LA)"
"2357","1992-1993","Central Connecticut State"
"2358","1992-1993","Central Florida"
"2359","1992-1993","Central Michigan"
"2360","1992-1993","Charleston Southern"
"2361","1992-1993","Charlotte"
"2362","1992-1993","Chattanooga"
"2363","1992-1993","Chicago State"
"2364","1992-1993","Cincinnati"
"2365","1992-1993","Citadel"
"2366","1992-1993","Clemson"
"2367","1992-1993","Cleveland State"
"2368","1992-1993","Coastal Carolina"
"2369","1992-1993","Colgate"
"2370","1992-1993","College of Charleston"
"2371","1992-1993","Colorado"
"2372","1992-1993","Colorado State"
"2373","1992-1993","Columbia"
"2374","1992-1993","Connecticut"
"2375","1992-1993","Coppin State"
"2376","1992-1993","Cornell"
"2377","1992-1993","Creighton"
"2378","1992-1993","Dartmouth"
"2379","1992-1993","Davidson"
"2380","1992-1993","Dayton"
"2381","1992-1993","Delaware"
"2382","1992-1993","Delaware State"
"2383","1992-1993","DePaul"
"2384","1992-1993","Detroit Mercy"
"2385","1992-1993","Drake"
"2386","1992-1993","Drexel"
"2387","1992-1993","Duke"
"2388","1992-1993","Duquesne"
"2389","1992-1993","East Carolina"
"2390","1992-1993","East Tennessee State"
"2391","1992-1993","Eastern Illinois"
"2392","1992-1993","Eastern Kentucky"
"2393","1992-1993","Eastern Michigan"
"2394","1992-1993","Eastern Washington"
"2395","1992-1993","Evansville"
"2396","1992-1993","Fairfield"
"2397","1992-1993","Fairleigh Dickinson"
"2398","1992-1993","Florida"
"2399","1992-1993","Florida A&M"
"2400","1992-1993","Florida International"
"2401","1992-1993","Florida State"
"2402","1992-1993","Fordham"
"2403","1992-1993","Fresno State"
"2404","1992-1993","Furman"
"2405","1992-1993","George Mason"
"2406","1992-1993","George Washington"
"2407","1992-1993","Georgetown"
"2408","1992-1993","Georgia"
"2409","1992-1993","Georgia Southern"
"2410","1992-1993","Georgia State"
"2411","1992-1993","Georgia Tech"
"2412","1992-1993","Gonzaga"
"2413","1992-1993","Grambling"
"2414","1992-1993","Green Bay"
"2415","1992-1993","Hartford"
"2416","1992-1993","Harvard"
"2417","1992-1993","Hawaii"
"2418","1992-1993","Hofstra"
"2419","1992-1993","Holy Cross"
"2420","1992-1993","Houston"
"2421","1992-1993","Howard"
"2422","1992-1993","Idaho"
"2423","1992-1993","Idaho State"
"2424","1992-1993","Illinois"
"2425","1992-1993","Illinois-Chicago"
"2426","1992-1993","Illinois State"
"2427","1992-1993","Indiana"
"2428","1992-1993","Indiana State"
"2429","1992-1993","Iona"
"2430","1992-1993","Iowa"
"2431","1992-1993","Iowa State"
"2432","1992-1993","Jackson State"
"2433","1992-1993","Jacksonville"
"2434","1992-1993","James Madison"
"2435","1992-1993","Kansas"
"2436","1992-1993","Kansas State"
"2437","1992-1993","Kent State"
"2438","1992-1993","Kentucky"
"2439","1992-1993","La Salle"
"2440","1992-1993","Lafayette"
"2441","1992-1993","Lamar"
"2442","1992-1993","Lehigh"
"2443","1992-1993","Liberty"
"2444","1992-1993","Little Rock"
"2445","1992-1993","Long Beach State"
"2446","1992-1993","Long Island University"
"2447","1992-1993","Louisiana"
"2448","1992-1993","Louisiana-Monroe"
"2449","1992-1993","Louisiana State"
"2450","1992-1993","Louisiana Tech"
"2451","1992-1993","Louisville"
"2452","1992-1993","Loyola (IL)"
"2453","1992-1993","Loyola (MD)"
"2454","1992-1993","Loyola Marymount"
"2455","1992-1993","Maine"
"2456","1992-1993","Manhattan"
"2457","1992-1993","Marist"
"2458","1992-1993","Marquette"
"2459","1992-1993","Marshall"
"2460","1992-1993","Maryland"
"2461","1992-1993","Maryland-Baltimore County"
"2462","1992-1993","Maryland-Eastern Shore"
"2463","1992-1993","Massachusetts"
"2464","1992-1993","McNeese State"
"2465","1992-1993","Memphis"
"2466","1992-1993","Mercer"
"2467","1992-1993","Miami (FL)"
"2468","1992-1993","Miami (OH)"
"2469","1992-1993","Michigan"
"2470","1992-1993","Michigan State"
"2471","1992-1993","Middle Tennessee"
"2472","1992-1993","Milwaukee"
"2473","1992-1993","Minnesota"
"2474","1992-1993","Mississippi"
"2475","1992-1993","Mississippi State"
"2476","1992-1993","Mississippi Valley State"
"2477","1992-1993","Missouri"
"2478","1992-1993","Missouri-Kansas City"
"2479","1992-1993","Missouri State"
"2480","1992-1993","Monmouth"
"2481","1992-1993","Montana"
"2482","1992-1993","Montana State"
"2483","1992-1993","Morehead State"
"2484","1992-1993","Morgan State"
"2485","1992-1993","Mount St. Mary's"
"2486","1992-1993","Murray State"
"2487","1992-1993","Navy"
"2488","1992-1993","Nebraska"
"2489","1992-1993","Nevada"
"2490","1992-1993","Nevada-Las Vegas"
"2491","1992-1993","New Hampshire"
"2492","1992-1993","New Mexico"
"2493","1992-1993","New Mexico State"
"2494","1992-1993","New Orleans"
"2495","1992-1993","Niagara"
"2496","1992-1993","Nicholls State"
"2497","1992-1993","North Carolina"
"2498","1992-1993","North Carolina-Asheville"
"2499","1992-1993","North Carolina-Greensboro"
"2500","1992-1993","North Carolina-Wilmington"
"2501","1992-1993","North Carolina A&T"
"2502","1992-1993","North Carolina State"
"2503","1992-1993","North Texas"
"2504","1992-1993","Northeastern"
"2505","1992-1993","Northeastern Illinois"
"2506","1992-1993","Northern Arizona"
"2507","1992-1993","Northern Illinois"
"2508","1992-1993","Northern Iowa"
"2509","1992-1993","Northwestern"
"2510","1992-1993","Northwestern State"
"2511","1992-1993","Notre Dame"
"2512","1992-1993","Ohio"
"2513","1992-1993","Ohio State"
"2514","1992-1993","Oklahoma"
"2515","1992-1993","Oklahoma State"
"2516","1992-1993","Old Dominion"
"2517","1992-1993","Oregon"
"2518","1992-1993","Oregon State"
"2519","1992-1993","Pacific"
"2520","1992-1993","Penn State"
"2521","1992-1993","Pennsylvania"
"2522","1992-1993","Pepperdine"
"2523","1992-1993","Pittsburgh"
"2524","1992-1993","Portland"
"2525","1992-1993","Prairie View"
"2526","1992-1993","Princeton"
"2527","1992-1993","Providence"
"2528","1992-1993","Purdue"
"2529","1992-1993","Radford"
"2530","1992-1993","Rhode Island"
"2531","1992-1993","Rice"
"2532","1992-1993","Richmond"
"2533","1992-1993","Rider"
"2534","1992-1993","Robert Morris"
"2535","1992-1993","Rutgers"
"2536","1992-1993","Sacramento State"
"2537","1992-1993","Saint Francis (PA)"
